,KOI,TransitNumber,TransitTimeLinear,TTV,eTTV,TransitTime,KOI_System,Planet_Number
570913,KOI-1576.01,106,1159.2829525999998,0.0139395,0.004954999999999999,1159.2968921,1576,1
570914,KOI-1576.01,107,1169.6986818,0.0018170999999999999,0.0059058999999999995,1169.7004989,1576,1
570915,KOI-1576.01,108,1180.1144110999999,-0.004756100000000001,0.0145216,1180.109655,1576,1
570916,KOI-1576.01,109,1190.5301402999999,0.002304,0.0080325,1190.5324443,1576,1
570917,KOI-1576.01,110,1200.9458695,0.0017725000000000002,0.0052231000000000005,1200.947642,1576,1
570918,KOI-1576.01,112,1221.777328,0.0034481,0.004072,1221.7807761,1576,1
570919,KOI-1576.01,113,1232.1930573,-0.0036067,0.0047477,1232.1894505999999,1576,1
570920,KOI-1576.01,114,1242.6087865,-0.0089631,0.0053066,1242.5998233999999,1576,1
570921,KOI-1576.01,115,1253.0245157,0.005004,0.004451600000000001,1253.0295197,1576,1
570922,KOI-1576.01,116,1263.440245,0.0027179,0.006468300000000001,1263.4429629,1576,1
570923,KOI-1576.01,117,1273.8559742,0.0020658,0.007156699999999999,1273.85804,1576,1
570924,KOI-1576.01,119,1294.6874327,0.004157899999999999,0.0052152,1294.6915906000002,1576,1
570925,KOI-1576.01,121,1315.5188910999998,0.0029186,0.007216500000000001,1315.5218096999997,1576,1
570926,KOI-1576.01,122,1325.9346204,0.0115602,0.0071127,1325.9461806000002,1576,1
570927,KOI-1576.01,123,1336.3503495999998,-0.0111517,0.005363199999999999,1336.3391978999998,1576,1
570928,KOI-1576.01,125,1357.1818081,-0.0038493000000000004,0.0064407,1357.1779588,1576,1
570929,KOI-1576.01,126,1367.5975372999999,0.001666,0.0056721,1367.5992032999998,1576,1
570930,KOI-1576.01,127,1378.0132666,-0.0172887,0.0042363999999999995,1377.9959778999998,1576,1
570931,KOI-1576.01,128,1388.4289958,-0.0106424,0.0088218,1388.4183534,1576,1
570932,KOI-1576.01,129,1398.844725,-0.0045681,0.0048515,1398.8401569,1576,1
570933,KOI-1576.01,130,1409.2604543,-0.0011478,0.004692,1409.2593065,1576,1
570934,KOI-1576.01,132,1430.0919127,-0.007894700000000001,0.0040073999999999995,1430.084018,1576,1
570935,KOI-1576.01,133,1440.507642,-0.0006519999999999999,0.0042286,1440.50699,1576,1
570936,KOI-1576.01,134,1450.9233712,-0.0022960000000000003,0.0045225000000000005,1450.9210752000001,1576,1
570937,KOI-1576.01,135,1461.3391004,0.004455399999999999,0.0053133,1461.3435558,1576,1
570938,KOI-1576.01,136,1471.7548297,-0.0033597,0.0043454999999999995,1471.7514700000002,1576,1
570939,KOI-1576.01,137,1482.1705589,0.0069532,0.0044019,1482.1775121,1576,1
570940,KOI-1576.01,138,1492.5862882000001,-0.0034161,0.0048431,1492.5828721,1576,1
570941,KOI-1576.01,139,1503.0020174,0.004921,0.0039982,1503.0069384,1576,1
570942,KOI-1576.01,140,1513.4177465999999,0.0106209,0.0054497,1513.4283675,1576,1
570943,KOI-1576.01,141,1523.8334759000002,0.0003573,0.0047082,1523.8338332,1576,1
570944,KOI-1576.02,1,65.63043520000001,0.023051699999999998,0.0060445,65.6534869,1576,2
